epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4311.57,0.5719,0.5002,1.10038,0.99034,0.99659,0.99398,0.93238,0.39202,0.2571,0.98408,0.007921,0.007921,0.007921
44,4422.88,0.57588,0.49877,1.09771,0.99192,0.99605,0.99432,0.93392,0.3933,0.24869,0.97896,0.0078715,0.0078715,0.0078715
45,4535.51,0.5671,0.49673,1.09764,0.99433,0.99723,0.99436,0.92887,0.4099,0.25152,0.99703,0.007822,0.007822,0.007822
46,4649.82,0.56673,0.4846,1.0959,0.98871,0.99447,0.99409,0.93143,0.3873,0.2464,0.97501,0.0077725,0.0077725,0.0077725
47,4765.32,0.56679,0.48497,1.09449,0.99317,0.99408,0.99328,0.9326,0.38962,0.23915,0.98107,0.007723,0.007723,0.007723
48,4874.97,0.55867,0.48036,1.09484,0.9936,0.9951,0.99411,0.93713,0.38705,0.24513,0.97346,0.0076735,0.0076735,0.0076735
49,4986.75,0.56245,0.48867,1.0932,0.99333,0.99531,0.99434,0.93698,0.38142,0.23773,0.96749,0.007624,0.007624,0.007624
50,5102.75,0.56099,0.47819,1.09027,0.99283,0.99815,0.99431,0.9374,0.38555,0.24512,0.97414,0.0075745,0.0075745,0.0075745
51,5217.27,0.55886,0.47164,1.09078,0.99123,0.99758,0.99422,0.93471,0.39243,0.24559,0.97781,0.007525,0.007525,0.007525
52,5336.98,0.55291,0.47355,1.08475,0.99456,0.99873,0.99443,0.94199,0.37107,0.23734,0.95906,0.0074755,0.0074755,0.0074755
53,5450.11,0.55206,0.47202,1.08588,0.99438,0.99595,0.99398,0.9394,0.37619,0.23072,0.95799,0.007426,0.007426,0.007426
54,5558.2,0.55908,0.46534,1.09399,0.99424,0.99877,0.9946,0.94025,0.37714,0.23636,0.96296,0.0073765,0.0073765,0.0073765
55,5640.83,0.55307,0.46392,1.08662,0.99498,0.99533,0.99425,0.93826,0.37981,0.23712,0.9694,0.007327,0.007327,0.007327
56,5717.85,0.55449,0.46602,1.08681,0.9958,0.99892,0.99441,0.9407,0.37185,0.22906,0.95795,0.0072775,0.0072775,0.0072775
57,5794.29,0.55291,0.46645,1.08305,0.99277,0.99785,0.99421,0.94357,0.36359,0.23144,0.95506,0.007228,0.007228,0.007228
58,5869.81,0.54491,0.46187,1.08161,0.9899,0.99917,0.99429,0.93713,0.38063,0.23307,0.97043,0.0071785,0.0071785,0.0071785
59,5945.36,0.54564,0.44831,1.08109,0.99266,0.9962,0.99427,0.9373,0.3754,0.23367,0.95898,0.007129,0.007129,0.007129
60,6020.86,0.53994,0.45054,1.07984,0.9952,0.9972,0.99472,0.94245,0.36342,0.22392,0.95285,0.0070795,0.0070795,0.0070795
61,6097.39,0.54357,0.44947,1.08055,0.99467,0.99619,0.99459,0.94604,0.35889,0.2247,0.94716,0.00703,0.00703,0.00703
62,6173.89,0.53661,0.44927,1.07971,0.99527,0.99744,0.99456,0.94133,0.37256,0.2257,0.95986,0.0069805,0.0069805,0.0069805
