epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3607.54,0.59558,0.59857,1.14497,0.99022,0.99011,0.99349,0.92645,0.3991,0.24741,0.98502,0.00136479,0.00136479,0.00136479
43,3694.78,0.59097,0.58795,1.14272,0.98871,0.99181,0.99303,0.92805,0.38935,0.24602,0.97652,0.00135835,0.00135835,0.00135835
44,3780.5,0.57598,0.57114,1.13385,0.98788,0.99202,0.99286,0.92729,0.38883,0.24477,0.97651,0.00135179,0.00135179,0.00135179
45,3866.64,0.58713,0.5814,1.13879,0.98945,0.99115,0.99341,0.92982,0.38826,0.24515,0.97976,0.0013451,0.0013451,0.0013451
46,3951.67,0.57802,0.58084,1.13217,0.98792,0.9943,0.99378,0.93343,0.38203,0.23917,0.97132,0.00133827,0.00133827,0.00133827
47,4038.28,0.58042,0.56974,1.13388,0.98692,0.99386,0.99306,0.93354,0.38288,0.24845,0.97208,0.00133132,0.00133132,0.00133132
48,4124.58,0.58178,0.56926,1.13385,0.98768,0.99723,0.99383,0.93357,0.38108,0.23603,0.96716,0.00132425,0.00132425,0.00132425
49,4210.88,0.57533,0.56705,1.13085,0.98834,0.99142,0.99264,0.93355,0.38373,0.24314,0.97389,0.00131705,0.00131705,0.00131705
50,4297.1,0.5752,0.56511,1.13115,0.98931,0.99281,0.99331,0.93544,0.38011,0.24075,0.97095,0.00130974,0.00130974,0.00130974
51,4383.67,0.57044,0.55724,1.13205,0.98501,0.99288,0.99368,0.93346,0.38018,0.24258,0.97061,0.0013023,0.0013023,0.0013023
52,4470.05,0.5688,0.5667,1.12817,0.98922,0.99345,0.99416,0.93486,0.37666,0.23693,0.96415,0.00129474,0.00129474,0.00129474
53,4557,0.56648,0.55472,1.12448,0.98566,0.99467,0.99419,0.93886,0.36939,0.22869,0.95997,0.00128707,0.00128707,0.00128707
54,4644.16,0.55988,0.55189,1.12451,0.98888,0.9977,0.99325,0.9353,0.37379,0.22876,0.96932,0.00127928,0.00127928,0.00127928
55,4731.02,0.56181,0.54922,1.11939,0.98744,0.99228,0.99345,0.9376,0.36591,0.22979,0.96252,0.00127139,0.00127139,0.00127139
56,4817.9,0.57614,0.56588,1.12999,0.98887,0.9948,0.99294,0.9366,0.3652,0.22626,0.95734,0.00126338,0.00126338,0.00126338
57,4904.59,0.56946,0.55686,1.12755,0.98876,0.99539,0.99384,0.93911,0.36209,0.22233,0.95429,0.00125526,0.00125526,0.00125526
58,4991.22,0.55631,0.53405,1.11828,0.98814,0.99401,0.99331,0.93647,0.36774,0.22795,0.95934,0.00124704,0.00124704,0.00124704
59,5077.56,0.55997,0.53182,1.12145,0.98982,0.99517,0.9935,0.93351,0.36732,0.22958,0.96235,0.00123871,0.00123871,0.00123871
60,5163.69,0.56605,0.55784,1.12233,0.98722,0.99695,0.99421,0.94209,0.35429,0.21712,0.94544,0.00123028,0.00123028,0.00123028
