epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3246,0.82392,3.17251,1.34917,0.70476,0.71421,0.7673,0.59819,0.72808,1.38408,1.38573,0.003324,0.003324,0.003324
2,148.071,0.79293,1.96428,1.29143,0.71395,0.69629,0.76401,0.54892,0.97687,1.46764,1.69182,0.00662438,0.00662438,0.00662438
3,219.94,0.87591,1.76207,1.33814,0.70972,0.57964,0.66998,0.45973,0.98979,1.69214,1.71609,0.00989176,0.00989176,0.00989176
4,291.982,0.91085,1.60008,1.35936,0.88001,0.76975,0.91737,0.6484,0.99076,1.10891,1.67884,0.0098515,0.0098515,0.0098515
5,365.435,0.87765,1.34706,1.32723,0.89687,0.88838,0.94174,0.72779,0.83506,0.79719,1.49946,0.009802,0.009802,0.009802
6,443.25,0.8412,1.19673,1.29594,0.91586,0.89611,0.96481,0.7841,0.70567,0.69995,1.31845,0.0097525,0.0097525,0.0097525
7,517.964,0.80078,1.08504,1.2652,0.9308,0.92267,0.96592,0.79183,0.68197,0.62202,1.31707,0.009703,0.009703,0.009703
8,592.984,0.79823,1.01084,1.26583,0.95677,0.96139,0.98714,0.84796,0.58927,0.50705,1.20798,0.0096535,0.0096535,0.0096535
9,668.955,0.76243,0.93733,1.23476,0.96355,0.9476,0.98313,0.83593,0.60973,0.51165,1.23065,0.009604,0.009604,0.009604
10,744.904,0.74461,0.8911,1.2248,0.95044,0.95942,0.98065,0.83911,0.58653,0.50734,1.21174,0.0095545,0.0095545,0.0095545
11,819.238,0.73496,0.86075,1.21609,0.94381,0.92898,0.97768,0.84175,0.58627,0.52245,1.2034,0.009505,0.009505,0.009505
12,891.507,0.70893,0.83031,1.20284,0.97502,0.97382,0.98791,0.86573,0.53323,0.41484,1.15333,0.0094555,0.0094555,0.0094555
13,970.287,0.70614,0.78155,1.19708,0.9758,0.96214,0.98722,0.86792,0.55089,0.42865,1.1579,0.009406,0.009406,0.009406
14,1044.86,0.70209,0.78158,1.2003,0.97665,0.97581,0.99058,0.86768,0.55616,0.39847,1.15993,0.0093565,0.0093565,0.0093565
15,1119.5,0.69196,0.76056,1.1869,0.98195,0.96945,0.98874,0.86248,0.55823,0.39881,1.15484,0.009307,0.009307,0.009307
16,1194.27,0.67176,0.74045,1.17614,0.97948,0.98265,0.99016,0.8751,0.51473,0.37739,1.11701,0.0092575,0.0092575,0.0092575
17,1270.83,0.66624,0.71148,1.17561,0.97589,0.98261,0.9898,0.88335,0.49914,0.36131,1.10722,0.009208,0.009208,0.009208
18,1347.95,0.65783,0.69118,1.16551,0.97451,0.97141,0.98887,0.87932,0.51017,0.38769,1.1109,0.0091585,0.0091585,0.0091585
19,1422.02,0.64967,0.69151,1.16606,0.96342,0.96737,0.98835,0.86915,0.55658,0.39468,1.16776,0.009109,0.009109,0.009109
20,1492.84,0.64593,0.67908,1.16078,0.98017,0.98041,0.99096,0.88937,0.48866,0.35446,1.09589,0.0090595,0.0090595,0.0090595
21,1563.51,0.64416,0.6654,1.15666,0.98537,0.98211,0.99131,0.88941,0.49352,0.33664,1.09117,0.00901,0.00901,0.00901
22,1634.11,0.63527,0.6481,1.14919,0.98483,0.98046,0.99141,0.89709,0.47147,0.33039,1.07318,0.0089605,0.0089605,0.0089605
23,1704.57,0.63272,0.64575,1.15012,0.98528,0.97963,0.99096,0.88448,0.49335,0.35882,1.10329,0.008911,0.008911,0.008911
24,1776.47,0.62012,0.61846,1.13929,0.98851,0.99089,0.9921,0.90126,0.47599,0.31907,1.07738,0.0088615,0.0088615,0.0088615
25,1846.54,0.62577,0.63494,1.15052,0.98683,0.98387,0.99258,0.90686,0.4521,0.30623,1.05803,0.008812,0.008812,0.008812
26,1920.2,0.62082,0.61507,1.14241,0.98851,0.98357,0.99311,0.90648,0.44159,0.29916,1.04305,0.0087625,0.0087625,0.0087625
27,1996.43,0.6004,0.5976,1.12967,0.98669,0.98886,0.99282,0.89753,0.4779,0.31567,1.07399,0.008713,0.008713,0.008713
28,2079.37,0.61057,0.59916,1.13913,0.98694,0.9837,0.99168,0.90489,0.44826,0.30801,1.04864,0.0086635,0.0086635,0.0086635
29,2160.41,0.59715,0.5855,1.13055,0.98669,0.99114,0.99346,0.9106,0.4512,0.29356,1.04918,0.008614,0.008614,0.008614
30,2241.22,0.60684,0.58578,1.13289,0.98571,0.98901,0.99068,0.91364,0.43579,0.28788,1.03393,0.0085645,0.0085645,0.0085645
31,2323.16,0.59658,0.57694,1.12868,0.98703,0.99308,0.99309,0.9168,0.43406,0.28341,1.02816,0.008515,0.008515,0.008515
32,2404.35,0.59396,0.56672,1.12488,0.99068,0.98876,0.99344,0.91412,0.4328,0.29186,1.03499,0.0084655,0.0084655,0.0084655
33,2484.6,0.59273,0.57887,1.12931,0.98594,0.98923,0.99345,0.91478,0.43223,0.29201,1.02699,0.008416,0.008416,0.008416
34,2564.02,0.58398,0.55163,1.11885,0.98516,0.99224,0.99335,0.92067,0.42882,0.2834,1.02009,0.0083665,0.0083665,0.0083665
35,2644.38,0.5883,0.56947,1.12506,0.98881,0.99057,0.99405,0.91635,0.43481,0.28195,1.02609,0.008317,0.008317,0.008317
36,2715.94,0.58496,0.56878,1.11827,0.98866,0.99591,0.99401,0.92339,0.41122,0.27051,1.01184,0.0082675,0.0082675,0.0082675
37,2790.53,0.57982,0.54124,1.11296,0.99006,0.98844,0.99407,0.91602,0.42066,0.26881,1.01677,0.008218,0.008218,0.008218
38,2866.58,0.58026,0.55321,1.11403,0.98852,0.99524,0.99404,0.92037,0.41937,0.27152,1.01072,0.0081685,0.0081685,0.0081685
39,2942.24,0.58204,0.53909,1.11779,0.98492,0.98355,0.99137,0.91229,0.43982,0.2874,1.03422,0.008119,0.008119,0.008119
40,3016.39,0.57291,0.53313,1.11369,0.98843,0.99276,0.99428,0.92452,0.40714,0.26105,0.99587,0.0080695,0.0080695,0.0080695
41,3089.5,0.57634,0.54078,1.11154,0.98785,0.9901,0.99278,0.92335,0.40555,0.26482,0.99771,0.00802,0.00802,0.00802
42,3162.59,0.56551,0.53363,1.10516,0.9858,0.99392,0.99319,0.9245,0.40222,0.26277,0.99171,0.0079705,0.0079705,0.0079705
43,3235.84,0.56627,0.51395,1.10943,0.98939,0.99468,0.99394,0.92607,0.40154,0.25561,0.99653,0.007921,0.007921,0.007921
44,3309.15,0.56316,0.51498,1.10507,0.99085,0.99281,0.99399,0.92614,0.40508,0.26508,1.00922,0.0078715,0.0078715,0.0078715
45,3384.77,0.56795,0.52656,1.1082,0.98908,0.99405,0.99346,0.93044,0.40479,0.26264,1.00087,0.007822,0.007822,0.007822
46,3458.74,0.56181,0.52018,1.10364,0.98735,0.99251,0.99323,0.93009,0.39301,0.26381,0.98859,0.0077725,0.0077725,0.0077725
47,3533.89,0.56097,0.5151,1.10322,0.99092,0.9929,0.99297,0.93282,0.39046,0.25054,0.98561,0.007723,0.007723,0.007723
48,3608.21,0.55745,0.50852,1.10454,0.98895,0.99292,0.99295,0.92705,0.39594,0.25245,0.99261,0.0076735,0.0076735,0.0076735
49,3682.97,0.55526,0.49915,1.10055,0.99173,0.99228,0.99392,0.93231,0.39992,0.26582,0.99141,0.007624,0.007624,0.007624
50,3757.38,0.55008,0.49609,1.09602,0.99225,0.99416,0.99398,0.93144,0.39195,0.2435,0.98533,0.0075745,0.0075745,0.0075745
51,3833.84,0.54744,0.49118,1.09376,0.99105,0.99479,0.99403,0.92941,0.40196,0.26184,0.99549,0.007525,0.007525,0.007525
52,3909.73,0.5431,0.48473,1.09385,0.99254,0.99269,0.99414,0.9338,0.38721,0.24649,0.9821,0.0074755,0.0074755,0.0074755
53,3986.19,0.54839,0.49595,1.09561,0.99054,0.99318,0.9931,0.93547,0.37609,0.24153,0.9737,0.007426,0.007426,0.007426
54,4063.3,0.54404,0.49716,1.09139,0.99203,0.996,0.99399,0.93175,0.38716,0.23827,0.98144,0.0073765,0.0073765,0.0073765
55,4136.3,0.54915,0.48693,1.09513,0.99207,0.99582,0.99428,0.93634,0.37652,0.23255,0.97042,0.007327,0.007327,0.007327
56,4209.63,0.53603,0.48543,1.0886,0.9908,0.99322,0.9937,0.93732,0.38153,0.24407,0.97297,0.0072775,0.0072775,0.0072775
57,4281.92,0.54527,0.47922,1.09376,0.98996,0.99724,0.99407,0.93779,0.38222,0.23733,0.97433,0.007228,0.007228,0.007228
58,4352.84,0.54161,0.48365,1.09359,0.98932,0.99564,0.99326,0.93598,0.37692,0.23482,0.96858,0.0071785,0.0071785,0.0071785
59,4423.64,0.53284,0.47044,1.08534,0.99073,0.99439,0.99418,0.93903,0.37685,0.23563,0.97025,0.007129,0.007129,0.007129
60,4494.23,0.53285,0.46622,1.0886,0.99082,0.99372,0.99343,0.93743,0.37484,0.23266,0.96662,0.0070795,0.0070795,0.0070795
61,4564.67,0.52906,0.46869,1.08502,0.99032,0.99743,0.99348,0.93951,0.37076,0.22574,0.96125,0.00703,0.00703,0.00703
62,4636.36,0.53427,0.47324,1.08713,0.99257,0.99379,0.9935,0.94035,0.37717,0.23611,0.96942,0.0069805,0.0069805,0.0069805
63,4710.69,0.52976,0.464,1.08369,0.99121,0.99281,0.994,0.94237,0.36903,0.22631,0.96339,0.006931,0.006931,0.006931
64,4785.09,0.52208,0.46416,1.07774,0.99156,0.99294,0.99307,0.93743,0.37687,0.23447,0.97216,0.0068815,0.0068815,0.0068815
65,4859.61,0.5237,0.45821,1.08156,0.99344,0.99565,0.9933,0.94002,0.36915,0.22303,0.96426,0.006832,0.006832,0.006832
66,4934.31,0.51958,0.44961,1.07892,0.99413,0.99223,0.99416,0.94346,0.36518,0.21816,0.95563,0.0067825,0.0067825,0.0067825
67,5009.3,0.52548,0.46479,1.08349,0.99292,0.99435,0.99381,0.94326,0.36262,0.22393,0.95682,0.006733,0.006733,0.006733
68,5083.91,0.51962,0.45479,1.07738,0.99196,0.99363,0.99395,0.94213,0.36358,0.22473,0.95581,0.0066835,0.0066835,0.0066835
69,5159.08,0.5226,0.45879,1.08129,0.99163,0.99576,0.99444,0.94767,0.3547,0.21806,0.9502,0.006634,0.006634,0.006634
70,5234,0.51454,0.44961,1.07447,0.9927,0.99591,0.9941,0.94505,0.3607,0.22047,0.95328,0.0065845,0.0065845,0.0065845
71,5308.83,0.5153,0.44526,1.07365,0.99072,0.9967,0.99418,0.94183,0.3617,0.21933,0.95986,0.006535,0.006535,0.006535
72,5383.86,0.51413,0.45395,1.07651,0.99271,0.99568,0.99435,0.94285,0.35977,0.22009,0.95331,0.0064855,0.0064855,0.0064855
73,5459.11,0.51218,0.44427,1.07039,0.99328,0.99549,0.9933,0.9464,0.35022,0.21646,0.94556,0.006436,0.006436,0.006436
74,5534.28,0.51563,0.44424,1.07317,0.99211,0.99461,0.99384,0.94458,0.35846,0.21852,0.95196,0.0063865,0.0063865,0.0063865
75,5609.78,0.51918,0.4412,1.07639,0.99213,0.99737,0.99394,0.94221,0.36037,0.21506,0.95399,0.006337,0.006337,0.006337
76,5684.64,0.5198,0.4524,1.07746,0.99271,0.99573,0.99404,0.94447,0.35464,0.21409,0.94946,0.0062875,0.0062875,0.0062875
77,5757.82,0.51364,0.43405,1.07447,0.99241,0.99692,0.99405,0.94672,0.34984,0.21016,0.94304,0.006238,0.006238,0.006238
78,5829.46,0.50803,0.43719,1.07268,0.99109,0.99314,0.99338,0.94343,0.35237,0.22127,0.94747,0.0061885,0.0061885,0.0061885
79,5900.84,0.50644,0.43499,1.06719,0.99061,0.99626,0.99419,0.9475,0.35159,0.21337,0.94422,0.006139,0.006139,0.006139
80,5972.13,0.50733,0.4305,1.07063,0.99283,0.99536,0.99392,0.94861,0.34449,0.20571,0.93769,0.0060895,0.0060895,0.0060895
81,6044.82,0.5061,0.43434,1.06881,0.99404,0.99458,0.99377,0.94843,0.34759,0.20789,0.94102,0.00604,0.00604,0.00604
82,6119.34,0.50869,0.43198,1.07285,0.99201,0.99494,0.99419,0.94966,0.3488,0.20822,0.93933,0.0059905,0.0059905,0.0059905
83,6193.67,0.50553,0.43158,1.06966,0.99299,0.994,0.99388,0.94599,0.3512,0.21357,0.94431,0.005941,0.005941,0.005941
84,6267.13,0.50215,0.42603,1.06538,0.99354,0.99463,0.99402,0.94981,0.34778,0.21246,0.93835,0.0058915,0.0058915,0.0058915
85,6343.88,0.49922,0.42818,1.06335,0.99247,0.99621,0.99431,0.95274,0.34603,0.20856,0.93562,0.005842,0.005842,0.005842
86,6418.85,0.49426,0.41814,1.0611,0.99183,0.99489,0.99434,0.95398,0.3412,0.20577,0.93393,0.0057925,0.0057925,0.0057925
87,6488.6,0.49859,0.42561,1.06499,0.98993,0.99688,0.99374,0.95045,0.34658,0.2082,0.9387,0.005743,0.005743,0.005743
88,6559.48,0.49665,0.42568,1.06563,0.99386,0.99452,0.99428,0.95107,0.34329,0.2094,0.93924,0.0056935,0.0056935,0.0056935
89,6631.26,0.49569,0.41514,1.06459,0.99244,0.99546,0.9941,0.95077,0.34221,0.20357,0.93412,0.005644,0.005644,0.005644
90,6704.09,0.49243,0.40668,1.06383,0.99132,0.99695,0.99366,0.9507,0.34206,0.20666,0.93478,0.0055945,0.0055945,0.0055945
91,6777.42,0.49717,0.41736,1.0623,0.9923,0.99606,0.99376,0.95195,0.34055,0.2034,0.93174,0.005545,0.005545,0.005545
92,6851.94,0.49594,0.41547,1.06528,0.99122,0.99752,0.99374,0.95175,0.33929,0.20115,0.92896,0.0054955,0.0054955,0.0054955
93,6922.01,0.49241,0.41644,1.05885,0.99065,0.99612,0.99389,0.95192,0.34094,0.2042,0.93126,0.005446,0.005446,0.005446
94,6993.45,0.49499,0.40618,1.05786,0.99247,0.9964,0.99448,0.95161,0.33818,0.19957,0.92747,0.0053965,0.0053965,0.0053965
95,7065.57,0.48481,0.40361,1.05797,0.99409,0.9976,0.99442,0.95309,0.33529,0.19565,0.92678,0.005347,0.005347,0.005347
96,7135.36,0.48683,0.41151,1.05703,0.99328,0.99742,0.99419,0.95291,0.3356,0.19668,0.92591,0.0052975,0.0052975,0.0052975
97,7205.04,0.48232,0.39408,1.05381,0.99196,0.99658,0.9935,0.95482,0.33547,0.19728,0.92479,0.005248,0.005248,0.005248
98,7271.15,0.48751,0.40745,1.0587,0.99132,0.99707,0.99349,0.95255,0.33538,0.19684,0.9253,0.0051985,0.0051985,0.0051985
99,7335.49,0.48464,0.3978,1.05719,0.99341,0.99742,0.99372,0.95348,0.33482,0.19489,0.92508,0.005149,0.005149,0.005149
100,7399.61,0.48669,0.4038,1.06158,0.99251,0.99752,0.9933,0.95405,0.33321,0.19656,0.92266,0.0050995,0.0050995,0.0050995
101,7463.11,0.47792,0.39384,1.05179,0.99366,0.99762,0.99387,0.95334,0.33129,0.19548,0.92178,0.00505,0.00505,0.00505
102,7526.57,0.48218,0.39199,1.05397,0.99369,0.99666,0.99406,0.95459,0.33096,0.19396,0.92116,0.0050005,0.0050005,0.0050005
103,7589.97,0.48346,0.38957,1.05257,0.99238,0.99667,0.99441,0.95486,0.33088,0.1926,0.92061,0.004951,0.004951,0.004951
104,7653.61,0.48217,0.39699,1.05441,0.99325,0.99821,0.99451,0.9542,0.33189,0.19087,0.92253,0.0049015,0.0049015,0.0049015
105,7717.23,0.48206,0.39156,1.05654,0.99409,0.99847,0.99434,0.95453,0.33059,0.1904,0.92225,0.004852,0.004852,0.004852
106,7780.52,0.47548,0.39505,1.0529,0.9942,0.99808,0.99432,0.95511,0.33082,0.18902,0.92174,0.0048025,0.0048025,0.0048025
107,7843.47,0.48038,0.39167,1.05584,0.99291,0.99832,0.99456,0.95473,0.33013,0.18757,0.92027,0.004753,0.004753,0.004753
108,7906.62,0.47854,0.39557,1.05541,0.99318,0.99843,0.9946,0.95431,0.32864,0.18798,0.91947,0.0047035,0.0047035,0.0047035
109,7969.73,0.47533,0.39,1.05171,0.99279,0.99741,0.9945,0.95469,0.32846,0.18636,0.91855,0.004654,0.004654,0.004654
110,8032.6,0.46833,0.38559,1.04258,0.99339,0.99754,0.99451,0.95561,0.32837,0.18776,0.9197,0.0046045,0.0046045,0.0046045
111,8095.77,0.47024,0.38578,1.04662,0.99378,0.99792,0.99455,0.95647,0.3293,0.18924,0.92116,0.004555,0.004555,0.004555
112,8158.79,0.47108,0.37629,1.0503,0.99301,0.99781,0.99454,0.95668,0.329,0.18983,0.92129,0.0045055,0.0045055,0.0045055
113,8222.07,0.47274,0.38976,1.04996,0.99218,0.99711,0.99441,0.95517,0.33146,0.19377,0.92303,0.004456,0.004456,0.004456
114,8285.46,0.47355,0.38499,1.04673,0.99285,0.9976,0.99414,0.95629,0.32903,0.19096,0.9223,0.0044065,0.0044065,0.0044065
115,8348.35,0.46753,0.37833,1.03912,0.99222,0.99677,0.99434,0.95481,0.32792,0.18927,0.92083,0.004357,0.004357,0.004357
116,8411.23,0.47355,0.38132,1.05285,0.99199,0.99697,0.99404,0.95576,0.32784,0.18802,0.919,0.0043075,0.0043075,0.0043075
