epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.44,0.81043,3.10982,1.32885,0.84588,0.74259,0.85341,0.6887,0.67969,1.22145,1.27998,0.00332402,0.00332402,0.00332402
2,254.823,0.79981,1.91424,1.28605,0.77598,0.63469,0.74586,0.5147,1.09711,1.4623,1.76994,0.0066244,0.0066244,0.0066244
3,377.516,0.87277,1.73774,1.32876,0.75804,0.71877,0.83959,0.61801,0.89088,1.30308,1.54966,0.00989178,0.00989178,0.00989178
4,499.23,0.9332,1.59046,1.36301,0.7489,0.71434,0.77466,0.53556,1.01018,1.3858,1.71245,0.0098515,0.0098515,0.0098515
5,620.657,0.88844,1.34244,1.32271,0.92112,0.91309,0.96111,0.76545,0.74779,0.75117,1.37943,0.009802,0.009802,0.009802
6,742.151,0.84776,1.18003,1.29146,0.89481,0.88742,0.95119,0.74825,0.75966,0.76867,1.38231,0.0097525,0.0097525,0.0097525
7,863.836,0.80953,1.05252,1.26128,0.94533,0.94755,0.9754,0.81083,0.65796,0.5825,1.27877,0.009703,0.009703,0.009703
8,984.923,0.79138,0.99319,1.24827,0.95617,0.95876,0.98369,0.83473,0.61954,0.53395,1.22464,0.0096535,0.0096535,0.0096535
9,1105.8,0.76556,0.92176,1.22904,0.96768,0.95685,0.98692,0.84617,0.57507,0.48897,1.17446,0.009604,0.009604,0.009604
10,1226.66,0.75316,0.86823,1.22444,0.96304,0.96539,0.98463,0.84636,0.58619,0.46258,1.19189,0.0095545,0.0095545,0.0095545
11,1347.89,0.74478,0.84532,1.21297,0.9574,0.97067,0.98446,0.83713,0.60259,0.4804,1.20007,0.009505,0.009505,0.009505
12,1469.08,0.73464,0.82385,1.20736,0.96134,0.97114,0.98586,0.86155,0.53776,0.44387,1.13655,0.0094555,0.0094555,0.0094555
13,1591.72,0.7188,0.78358,1.19467,0.97445,0.97275,0.9856,0.84664,0.59085,0.45908,1.20155,0.009406,0.009406,0.009406
14,1715.21,0.70583,0.76064,1.18948,0.98208,0.98095,0.99029,0.86819,0.52551,0.39292,1.12384,0.0093565,0.0093565,0.0093565
15,1838.78,0.69816,0.73962,1.18219,0.98304,0.9784,0.99241,0.88268,0.51755,0.38147,1.11433,0.009307,0.009307,0.009307
16,1962.32,0.68748,0.71658,1.17262,0.96141,0.98543,0.99093,0.88434,0.50031,0.37751,1.09217,0.0092575,0.0092575,0.0092575
17,2096.61,0.68056,0.69916,1.17558,0.98299,0.98649,0.99153,0.88591,0.49761,0.36736,1.09109,0.009208,0.009208,0.009208
18,2234.39,0.6685,0.68089,1.16424,0.98597,0.97972,0.99177,0.89114,0.48481,0.369,1.08107,0.0091585,0.0091585,0.0091585
